"PA Code",NSC Code,NCES Code,AUN Code,"ULCS Code",SRC School ID,School Name (ULCS),Publication Name,Admission Type,"Year Opened","Grade Level (based on enrollment)",Current Grade Span Served,"Authorized Grade Span at Scale",Phasing-In ,Phasing-Out,Governance,Charter Management Organization,School Reporting Category,Alternate Education Type,Turnaround Model,Turaround Year,CTE Status,Title I Designation,Federal Accountability Designation,City Council District (2000),Multiple Addresses,Street Address,City,State,Zip Code,Phone Number,Fax Number,Principal Name,Learning Network,Learning Network 2,Assistant Superintendent,Pre-K On-Site Indicator,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12
7904,393242,4.21899E+11,126515001,2620,262,ACADEMY AT PALUMBO,Academy at Palumbo,SPECIAL ADMIT,2006,HIGH,12-Sep,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,NO DESIGNATION,1,N/A,1100 CATHARINE ST.,PHILADELPHIA               ,PA,19147,215-351-7618,215-351-7685,Kiana Thompson,LEARNING NETWORK 1,,Deb Carrera,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3653,N/A,4.21899E+11,126515001,2630,263,"SHARSWOOD, GEORGE SCHOOL",George W. Sharswood School,NEIGHBORHOOD,1906,ELEMENTARYMIDDLE,00-08,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,NO DESIGNATION,1,N/A,2300 S. 2ND ST.,PHILADELPHIA               ,PA,19148,215-952-6212,215-952-6405,Maureen A. Skalski,LEARNING NETWORK 1,,Deb Carrera,1,1,1,1,1,1,1,1,1,1,0,0,0,0
3654,N/A,4.21899E+11,126515001,2640,264,SOUTHWARK SCHOOL,Southwark School,NEIGHBORHOOD,1905,ELEMENTARYMIDDLE,00-08,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,NO DESIGNATION,1,N/A,1835 S. 9TH ST.,PHILADELPHIA               ,PA,19148,215-952-8606,215-952-8670,Andrew Lukov,LEARNING NETWORK 1,,Deb Carrera,1,1,1,1,1,1,1,1,1,1,0,0,0,0
7906,393238,4.21899E+11,126515001,2650,265,SCIENCE LEADERSHIP ACADEMY,Science Leadership Academy,SPECIAL ADMIT,2006,HIGH,12-Sep,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,Programs,1,REWARD (HIGH ACHIEVEMENT),5,N/A,55 N. 22ND ST.,PHILADELPHIA               ,PA,19103,215-979-5620,215-567-2809,Christopher Lehmann,LEARNING NETWORK 5,INCUBATION NETWORK,Grace Cannon,0,0,0,0,0,0,0,0,0,0,1,1,1,1
7905,393250,4.21899E+11,126515001,2670,267,CONSTITUTION HIGH SCHOOL,Constitution High School,CITYWIDE,2006,HIGH,12-Sep,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,NO DESIGNATION,1,N/A,18 S. 7TH ST.,PHILADELPHIA               ,PA,19106,215-351-7310,215-351-7694,Thomas Davidson,LEARNING NETWORK 3,,Sonya Harrison,0,0,0,0,0,0,0,0,0,0,1,1,1,1
8330,N/A,N/A,126515001,2680,268,SCIENCE LDSHP ACADEMY @ BEEBER,The Science Leadership Academy at Beeber,SPECIAL ADMIT,2014,HIGH,10-Sep,12-Sep,1,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,,N/A,4,N/A,5925 MALVERN AVE.,PHILADELPHIA               ,PA,19131,215-581-2715,215-581-2109,Christopher Johnson,LEARNING NETWORK 5,INCUBATION NETWORK,Grace Cannon,0,0,0,0,0,0,0,0,0,0,1,1,0,0
3657,N/A,4.21899E+11,126515001,2690,269,"TAGGART, JOHN H. SCHOOL",John H. Taggart School,NEIGHBORHOOD,1917,ELEMENTARYMIDDLE,00-08,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,FOCUS,1,N/A,400 W. PORTER ST.,PHILADELPHIA               ,PA,19148,215-952-6228,215-952-8502,Nelson Reyes,LEARNING NETWORK 1,,Deb Carrera,1,1,1,1,1,1,1,1,1,1,0,0,0,0
8294,N/A,4.21899E+11,126515001,2720,272,VARE-WASHINGTON ELEMENTARY,Vare-Washington School,NEIGHBORHOOD,1903,ELEMENTARYMIDDLE,00-08,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,NO DESIGNATION,1,N/A,1198 S. 5TH ST.,PHILADELPHIA               ,PA,19147,215-952-8620,215-952-8508,Joanne Capriotti,LEARNING NETWORK 1,,Deb Carrera,1,1,1,1,1,1,1,1,1,1,0,0,0,0
3857,393420,4.21899E+11,126515001,4020,402,OVERBROOK HIGH SCHOOL,Overbrook High School,NEIGHBORHOOD,1926,HIGH,12-Sep,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,Programs,1,PRIORITY,4,N/A,5898 LANCASTER AVE.,PHILADELPHIA               ,PA,19131,215-581-5507,215-581-3406,Angela Thompson,LEARNING NETWORK 2,,Sean Conley,0,0,0,0,0,0,0,0,0,0,1,1,1,1
7023,393342,4.21899E+11,126515001,4030,403,ENGINEERING & SCIENCE HIGH,High School of Engineering and Science,SPECIAL ADMIT,1949,HIGH,12-Sep,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,Programs,1,REWARD (HIGH ACHIEVEMENT),5,N/A,1600 W. NORRIS ST.,PHILADELPHIA               ,PA,19121,215-684-5079,215-684-5151,Ted Domers,LEARNING NETWORK 4,,John Tupponce,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3841,393395,4.21899E+11,126515001,4060,406,"DOBBINS, MURRELL HIGH SCHOOL",Murrell Dobbins Career and Technical High School,CITYWIDE,1938,HIGH,12-Sep,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,Comprehensive,1,FOCUS,5,N/A,2150 W. LEHIGH AVE.,PHILADELPHIA               ,PA,19132,215-227-4421,215-227-4944,Toni Damon,LEARNING NETWORK 4,,John Tupponce,0,0,0,0,0,0,0,0,0,0,1,1,1,1
7238,N/A,4.21899E+11,126515001,4100,410,"BEEBER, DIMNER MIDDLE SCHOOL",Dimner Beeber School,NEIGHBORHOOD,1933,MIDDLE,8-Jul,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,FOCUS,4,N/A,5925 MALVERN AVE.,PHILADELPHIA               ,PA,19131,215-581-5513,215-581-5694,Khary Moody,LEARNING NETWORK 2,,Sean Conley,0,0,0,0,0,0,0,0,1,1,0,0,0,0
7255,393531,4.21899E+11,126515001,4140,414,STRAWBERRY MANSION HIGH SCHOOL,Strawberry Mansion High School,NEIGHBORHOOD,1964,HIGH,12-Sep,N/A,0,0,DISTRICT,N/A,K12,N/A,PROMISE ACADEMY,2014-2015,Programs,1,PRIORITY,5,N/A,3133 RIDGE AVE.,PHILADELPHIA               ,PA,19121,215-684-5089,215-684-5380,Linda Cliatt-Wayman,LEARNING NETWORK 4,,John Tupponce,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3662,N/A,4.21899E+11,126515001,4220,422,"BLAINE, JAMES G. SCHOOL",James G. Blaine School,NEIGHBORHOOD,1966,ELEMENTARYMIDDLE,00-08,N/A,0,0,DISTRICT,N/A,K12,N/A,DISTRICT TRANSFORMATION,2014-2015,N/A,1,FOCUS,5,N/A,3001 W. BERKS ST.,PHILADELPHIA               ,PA,19121,215-684-5085,215-684-8858,Gianeen Powell-Wali,LEARNING NETWORK 4,,John Tupponce,1,1,1,1,1,1,1,1,1,1,0,0,0,0
3664,N/A,4.21899E+11,126515001,4240,424,"CASSIDY,LEWIS C ACADEMICS PLUS",Lewis C. Cassidy Academics Plus School,NEIGHBORHOOD,1924,ELEMENTARY,00-06,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,NO DESIGNATION,4,N/A,6523 LANSDOWNE AVE.,PHILADELPHIA               ,PA,19151,215-581-5506,215-581-5581,Tangela McClam,LEARNING NETWORK 2,,Sean Conley,0,1,1,1,1,1,1,1,0,0,0,0,0,0
3786,N/A,4.21899E+11,126515001,4270,427,"DICK, WILLIAM SCHOOL",William Dick School,NEIGHBORHOOD,1954,ELEMENTARYMIDDLE,00-08,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,FOCUS,5,N/A,2498 W. DIAMOND ST.,PHILADELPHIA               ,PA,19121,215-684-5081,215-684-8995,Amy Hannah Agree-Williams,LEARNING NETWORK 4,,John Tupponce,0,1,1,1,1,1,1,1,1,1,0,0,0,0
3668,N/A,4.21899E+11,126515001,4280,428,"GOMPERS, SAMUEL SCHOOL",Samuel Gompers School,NEIGHBORHOOD,1968,ELEMENTARY,00-06,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,FOCUS,4,N/A,5701 WYNNEFIELD AVE.,PHILADELPHIA               ,PA,19131,215-581-5503,215-581-5686,Phil DeLuca,LEARNING NETWORK 2,,Sean Conley,0,1,1,1,1,1,1,1,0,0,0,0,0,0
5187,N/A,4.21899E+11,126515001,4300,430,"HESTON, EDWARD SCHOOL",Edward Heston School,NEIGHBORHOOD,1970,ELEMENTARYMIDDLE,00-08,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,FOCUS,3,N/A,1621 N. 54TH ST.,PHILADELPHIA               ,PA,19131,215-581-5514,215-581-5724,Angela Gaddie-Edwards,LEARNING NETWORK 2,,Sean Conley,1,1,1,1,1,1,1,1,1,1,0,0,0,0
3670,N/A,4.21899E+11,126515001,4320,432,"LAMBERTON,ROBERT E ELEMENTARY",Robert E. Lamberton School,NEIGHBORHOOD,1949,ELEMENTARYMIDDLE,00-08,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,NO DESIGNATION,4,N/A,7501 WOODBINE AVE.,PHILADELPHIA               ,PA,19151,215-581-5650,215-581-3403,Yvette Duperon,LEARNING NETWORK 2,,Sean Conley,0,1,1,1,1,1,1,1,1,1,0,0,0,0
8292,N/A,4.21899E+11,126515001,4350,435,RHODES ELEMENTARY SCHOOL,E. Washington Rhodes School,NEIGHBORHOOD,2013,ELEMENTARYMIDDLE,00-08,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,NO DESIGNATION,4,N/A,2900 W. CLEARFIELD ST.,PHILADELPHIA               ,PA,19132,215-227-4402,215-227-4926,Andrea Coleman-Hill,LEARNING NETWORK 4,,John Tupponce,0,1,1,1,1,1,1,1,1,1,0,0,0,0
7472,N/A,4.21899E+11,126515001,4370,437,OVERBROOK ELEMENTARY SCHOOL,Overbrook School,NEIGHBORHOOD,1990,ELEMENTARY,00-06,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,NO DESIGNATION,4,N/A,2032 N. 62ND ST.,PHILADELPHIA               ,PA,19151,215-581-5691,215-581-2175,Michelle Hayes-Flores,LEARNING NETWORK 2,,Sean Conley,0,1,1,1,1,1,1,1,0,0,0,0,0,0
3675,N/A,4.21899E+11,126515001,4380,438,"PEIRCE, THOMAS M. SCHOOL",Thomas M. Peirce School,NEIGHBORHOOD,1908,ELEMENTARY,00-06,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,PRIORITY,8,N/A,2300 W. CAMBRIA ST.,PHILADELPHIA               ,PA,19132,215-227-4411,215-227-4599,Anthony Gordon,LEARNING NETWORK 4,,John Tupponce,0,1,1,1,1,1,1,1,0,0,0,0,0,0
5292,N/A,4.21899E+11,126515001,4440,444,"ALLEN, DR. ETHEL SCHOOL",Dr. Ethel Allen School,NEIGHBORHOOD,1971,ELEMENTARYMIDDLE,00-08,N/A,0,0,DISTRICT,N/A,K12,N/A,PROMISE ACADEMY,2010-2011,N/A,1,PRIORITY,5,N/A,3200 W. LEHIGH AVE.,PHILADELPHIA               ,PA,19132,215-227-4404,215-227-2971,Stefan Feaster Eberhardt,LEARNING NETWORK 4,,John Tupponce,1,1,1,1,1,1,1,1,1,1,0,0,0,0
5040,N/A,4.21899E+11,126515001,4460,446,"DUCKREY, TANNER SCHOOL",Tanner G. Duckrey School,NEIGHBORHOOD,1968,ELEMENTARYMIDDLE,00-08,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,FOCUS,5,N/A,1501 W. DIAMOND ST.,PHILADELPHIA               ,PA,19121,215-684-5066,215-684-8927,David Cohen,LEARNING NETWORK 4,,John Tupponce,0,1,1,1,1,1,1,1,1,1,0,0,0,0
5188,N/A,4.21899E+11,126515001,4470,447,"WRIGHT, RICHARD R. SCHOOL",Richard R. Wright School,NEIGHBORHOOD,1970,ELEMENTARY,00-05,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,PRIORITY,5,N/A,2700 W. DAUPHIN ST.,PHILADELPHIA               ,PA,19132,215-684-5076,215-684-7018,Shauneille Taylor,LEARNING NETWORK 4,,John Tupponce,1,1,1,1,1,1,1,0,0,0,0,0,0,0
6960,N/A,4.21899E+11,126515001,4480,448,OVERBROOK EDUCATIONAL CENTER,Overbrook Educational Center,CITYWIDE,1986,ELEMENTARYMIDDLE,00-08,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,NO DESIGNATION,4,N/A,6722 LANSDOWNE AVE.,PHILADELPHIA               ,PA,19151,215-581-5890,215-581-5677,Tamika Ruley (Gilliam),LEARNING NETWORK 2,,Sean Conley,0,1,1,1,1,1,1,1,1,1,0,0,0,0
3625,N/A,4.21899E+11,126515001,4530,453,"GIDEON, EDWARD SCHOOL",Edward Gideon School,NEIGHBORHOOD,1952,ELEMENTARYMIDDLE,00-08,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,FOCUS,5,N/A,2817 W. GLENWOOD AVE.,PHILADELPHIA               ,PA,19121,215-684-5072,215-684-8917,Jeannine Hendricks ,LEARNING NETWORK 4,,John Tupponce,0,1,1,1,1,1,1,1,1,1,0,0,0,0
3626,N/A,4.21899E+11,126515001,4560,456,"KELLEY, WILLIAM D. SCHOOL",William D. Kelley School,NEIGHBORHOOD,1965,ELEMENTARYMIDDLE,00-08,N/A,0,0,DISTRICT,N/A,K12,N/A,DISTRICT TRANSFORMATION,2014-2015,N/A,1,PRIORITY,5,N/A,1601 N. 28TH ST.,PHILADELPHIA               ,PA,19121,215-684-5071,215-684-5179,Amelia Brown,LEARNING NETWORK 4,,John Tupponce,1,1,1,1,1,1,1,1,1,1,0,0,0,0
3630,N/A,4.21899E+11,126515001,4570,457,"MEADE, GEN. GEORGE G. SCHOOL",General George G. Meade School,NEIGHBORHOOD,1937,ELEMENTARYMIDDLE,00-08,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,PRIORITY,5,N/A,1600 N. 18TH ST.,PHILADELPHIA               ,PA,19121,215-684-5062,215-684-7006,Kimberly Grahn,LEARNING NETWORK 3,,Sonya Harrison,1,1,1,1,1,1,1,1,1,1,0,0,0,0
3849,393542,4.21899E+11,126515001,5020,502,"EDISON, THOMAS A. HIGH SCHOOL",Thomas A. Edison High School,NEIGHBORHOOD,1985,HIGH,12-Sep,N/A,0,0,DISTRICT,N/A,K12,N/A,PROMISE ACADEMY,2014-2015,Programs,1,PRIORITY,7,N/A,151 W. LUZERNE ST.,PHILADELPHIA               ,PA,19140,215-324-9599,215-329-5824,Awilda Ortiz ,LEARNING NETWORK 5,,Cheryl Logan,1,0,0,0,0,0,0,0,0,0,1,1,1,1
7850,392793,4.21899E+11,126515001,5050,505,PHILADELPHIA MILITARY ACADEMY,Philadelphia Military Academy,CITYWIDE,2005,HIGH,12-Sep,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,NO DESIGNATION,5,N/A,2118 N. 13TH ST.,PHILADELPHIA               ,PA,19122,215-684-5091,215-684-5507,Patricia Randzo,LEARNING NETWORK 4,,John Tupponce,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3842,393355,4.21899E+11,126515001,5060,506,"MASTBAUM, JULES E. HIGH SCHOOL",Jules E. Mastbaum Area Vocational Technical High School,CITYWIDE,1929,HIGH,12-Sep,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,Comprehensive,1,FOCUS,1,N/A,3116 FRANKFORD AVE.,PHILADELPHIA               ,PA,19134,215-291-4703,215-291-5657,Warren Bowman,LEARNING NETWORK 4,,John Tupponce,0,0,0,0,0,0,0,0,0,0,1,1,1,1
6548,393416,4.21899E+11,126515001,5070,507,PARKWAY-NORTHWEST HIGH SCHOOL,Parkway Northwest High School,SPECIAL ADMIT,1960,HIGH,12-Sep,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,NO DESIGNATION,9,N/A,1100 E. MT. PLEASANT AVE.,PHILADELPHIA               ,PA,19150,215-248-6220,215-248-6015,Gina Steiner,LEARNING NETWORK 6,,Karen Kolsky,0,0,0,0,0,0,0,0,0,0,1,1,1,1
7782,393448,4.21899E+11,126515001,5080,508,PARKWAY CENTER CITY HIGH SCHL,Parkway Center City High School,SPECIAL ADMIT,2005,HIGH,12-Sep,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,NO DESIGNATION,5,N/A,540 N. 13TH ST.,PHILADELPHIA               ,PA,19123,215-351-7095,215-351-7097,Karren Dunkley,LEARNING NETWORK 3,,Sonya Harrison,0,0,0,0,0,0,0,0,0,0,1,1,1,1
7808,393428,4.21899E+11,126515001,5090,509,PARKWAY WEST HIGH SCHOOL,Parkway West High School,SPECIAL ADMIT,2004,HIGH,12-Sep,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,NO DESIGNATION,3,N/A,4725 FAIRMOUNT AVE.,PHILADELPHIA               ,PA,19139,215-581-5510,215-581-5600,Kathleen McCladdie,LEARNING NETWORK 2,,Sean Conley,0,0,0,0,0,0,0,0,0,0,1,1,1,1
7070,393343,4.21899E+11,126515001,5150,515,"BODINE, WILLIAM W. HIGH SCHOOL",William W. Bodine High School,SPECIAL ADMIT,1935,HIGH,12-Sep,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,REWARD (HIGH ACHIEVEMENT),1,N/A,1101 N. 4TH ST.,PHILADELPHIA               ,PA,19123,215-351-7332,215-351-7370,Karen Thomas,LEARNING NETWORK 5,,Cheryl Logan,0,0,0,0,0,0,0,0,0,0,1,1,1,1
8293,N/A,4.21899E+11,126515001,5160,516,PENN TREATY HIGH SCHOOL,Penn Treaty High School,NEIGHBORHOOD,2013,MIDDLEHIGH,12-Jun,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,NO DESIGNATION,5,N/A,600 E. THOMPSON ST.,PHILADELPHIA               ,PA,19125,215-291-4715,215-291-5172,Sam Howell,LEARNING NETWORK 3,,Sonya Harrison,0,0,0,0,0,0,0,1,1,1,1,1,1,1
7175,N/A,4.21899E+11,126515001,5170,517,"DEBURGOS, J. ELEMENTARY",Julia de Burgos School,NEIGHBORHOOD,1903,ELEMENTARYMIDDLE,00-08,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,NO DESIGNATION,7,N/A,401 W. LEHIGH AVE.,PHILADELPHIA               ,PA,19133,215-291-4065,215-291-4084,Maritza Hernandez,LEARNING NETWORK 5,,Cheryl Logan,0,1,1,1,1,1,1,1,1,1,0,0,0,0
7256,N/A,4.21899E+11,126515001,5200,520,"ADAIRE, ALEXANDER SCHOOL",Alexander Adaire School,NEIGHBORHOOD,1957,ELEMENTARYMIDDLE,00-08,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,NO DESIGNATION,5,N/A,1300 E. PALMER ST.,PHILADELPHIA               ,PA,19125,215-291-4712,215-291-6350,Anna Jenkins,LEARNING NETWORK 3,,Sonya Harrison,0,1,1,1,1,1,1,1,1,1,0,0,0,0
3684,N/A,4.21899E+11,126515001,5210,521,"BROWN, HENRY A. SCHOOL",Henry A. Brown School,NEIGHBORHOOD,1959,ELEMENTARYMIDDLE,00-08,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,FOCUS,1,N/A,1946 E. SERGEANT ST.,PHILADELPHIA               ,PA,19125,215-291-4717,215-291-5836,Connie Carnivale,LEARNING NETWORK 5,,Cheryl Logan,0,1,1,1,1,1,1,1,1,1,0,0,0,0
6525,N/A,4.21899E+11,126515001,5230,523,"CONWELL, RUSSELL MIDDLE SCHOOL",Russell H. Conwell School,SPECIAL ADMIT,1926,MIDDLE,8-May,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,NO DESIGNATION,1,N/A,1829 CLEARFIELD ST.,PHILADELPHIA               ,PA,19134,215-291-4722,215-291-5019,Erica Green,LEARNING NETWORK 5,,Cheryl Logan,0,0,0,0,0,0,1,1,1,1,0,0,0,0
3687,N/A,4.21899E+11,126515001,5250,525,"DUNBAR, PAUL L. SCHOOL",Paul L. Dunbar School,NEIGHBORHOOD,1932,ELEMENTARYMIDDLE,00-08,N/A,0,0,DISTRICT,N/A,K12,N/A,PROMISE ACADEMY,2010-2011,N/A,1,FOCUS,5,N/A,1750 N. 12TH ST.,PHILADELPHIA               ,PA,19122,215-684-5065,215-684-8945,Dawn Moore,LEARNING NETWORK 3,,Sonya Harrison,0,1,1,1,1,1,1,1,1,1,0,0,0,0
3688,N/A,4.21899E+11,126515001,5260,526,"ELKIN, LEWIS SCHOOL",Lewis Elkin School,NEIGHBORHOOD,1973,ELEMENTARY,00-04,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,FOCUS,7,N/A,3199 D ST.,PHILADELPHIA               ,PA,19134,215-291-4701,215-291-4876,Mary Sanchez,LEARNING NETWORK 5,,Cheryl Logan,0,1,1,1,1,1,0,0,0,0,0,0,0,0
5120,N/A,4.21899E+11,126515001,5300,530,"HACKETT, HORATIO B. SCHOOL",Horatio B. Hackett School,NEIGHBORHOOD,1969,ELEMENTARY,00-05,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,NO DESIGNATION,1,N/A,2161 E. YORK ST.,PHILADELPHIA               ,PA,19125,215-291-4706,215-291-4169,Randi Klein-Davila,LEARNING NETWORK 3,,Sonya Harrison,0,1,1,1,1,1,1,0,0,0,0,0,0,0
5125,N/A,4.21899E+11,126515001,5320,532,"HARTRANFT, JOHN F. SCHOOL",John F. Hartranft School,NEIGHBORHOOD,1968,ELEMENTARYMIDDLE,00-08,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,FOCUS,5,N/A,720 W. CUMBERLAND ST.,PHILADELPHIA               ,PA,19133,215-684-5088,215-765-6515,Jason Lytle,LEARNING NETWORK 5,,Cheryl Logan,0,1,1,1,1,1,1,1,1,1,0,0,0,0
3693,N/A,4.21899E+11,126515001,5330,533,"HUNTER, WILLIAM H. SCHOOL",William H. Hunter School,NEIGHBORHOOD,1909,ELEMENTARYMIDDLE,00-08,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,FOCUS,7,N/A,2400 N. FRONT ST.,PHILADELPHIA               ,PA,19133,215-291-4710,215-291-5177,Alberto R. Rivera,LEARNING NETWORK 5,,Cheryl Logan,1,1,1,1,1,1,1,1,1,1,0,0,0,0
3694,N/A,4.21899E+11,126515001,5340,534,"LUDLOW, JAMES R. SCHOOL",James R. Ludlow School,NEIGHBORHOOD,1927,ELEMENTARYMIDDLE,00-08,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,FOCUS,5,N/A,550 W. MASTER ST.,PHILADELPHIA               ,PA,19122,215-684-5060,215-684-4387,Carol Williams,LEARNING NETWORK 3,,Sonya Harrison,0,1,1,1,1,1,1,1,1,1,0,0,0,0
5293,N/A,4.21899E+11,126515001,5350,535,"MCKINLEY, WILLIAM SCHOOL",William McKinley School,NEIGHBORHOOD,1970,ELEMENTARYMIDDLE,00-08,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,FOCUS,7,N/A,2101 N. ORKNEY ST.,PHILADELPHIA               ,PA,19122,215-291-4702,215-291-5613,Marilyn Carrion-Mejia,LEARNING NETWORK 5,,Cheryl Logan,1,1,1,1,1,1,1,1,1,1,0,0,0,0
3697,N/A,4.21899E+11,126515001,5370,537,"MOFFET, JOHN SCHOOL",John Moffet School,NEIGHBORHOOD,1973,ELEMENTARY,00-05,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,NO DESIGNATION,7,N/A,127 W. OXFORD ST.,PHILADELPHIA               ,PA,19122,215-291-4721,215-291-5190,Carmen Navarro,LEARNING NETWORK 3,,Sonya Harrison,0,1,1,1,1,1,1,0,0,0,0,0,0,0
5121,N/A,4.21899E+11,126515001,5390,539,POTTER-THOMAS SCHOOL,Potter-Thomas School,NEIGHBORHOOD,1967,ELEMENTARYMIDDLE,00-08,N/A,0,0,DISTRICT,N/A,K12,N/A,PROMISE ACADEMY,2010-2011,N/A,1,PRIORITY,7,N/A,3001 N. 6TH ST.,PHILADELPHIA               ,PA,19133,215-227-4423,215-227-7196,Dywonne Davis-Harris,LEARNING NETWORK 5,,Cheryl Logan,0,1,1,1,1,1,1,1,1,1,0,0,0,0
3701,N/A,4.21899E+11,126515001,5400,540,RICHMOND SCHOOL,Richmond School,NEIGHBORHOOD,1929,ELEMENTARY,00-05,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,NO DESIGNATION,1,N/A,2944 BELGRADE ST.,PHILADELPHIA               ,PA,19134,215-291-4718,215-291-4141,Susan Rozanski,LEARNING NETWORK 5,,Cheryl Logan,0,1,1,1,1,1,1,0,0,0,0,0,0,0
3702,N/A,4.21899E+11,126515001,5410,541,"SHEPPARD, ISAAC A. SCHOOL",Isaac A. Sheppard School,NEIGHBORHOOD,1898,ELEMENTARY,00-04,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,FOCUS,7,N/A,120 W. CAMBRIA ST.,PHILADELPHIA               ,PA,19133,215-291-4711,215-291-4156,John Piniat,LEARNING NETWORK 5,,Cheryl Logan,0,1,1,1,1,1,0,0,0,0,0,0,0,0
3703,N/A,4.21899E+11,126515001,5420,542,"WELSH, JOHN SCHOOL",John Welsh School,NEIGHBORHOOD,1966,ELEMENTARYMIDDLE,00-08,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,FOCUS,7,N/A,2331 N. 4TH ST.,PHILADELPHIA               ,PA,19133,215-291-4708,215-291-4153,Milagros DeJesus,LEARNING NETWORK 5,,Cheryl Logan,0,1,1,1,1,1,1,1,1,1,0,0,0,0
6823,N/A,4.21899E+11,126515001,5430,543,AMY 5 AT JAMES MARTIN,Alternative Middle Years at James Martin ,CITYWIDE,1985,MIDDLE,8-Jun,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,NO DESIGNATION,6,N/A,3380 RICHMOND ST.,PHILADELPHIA               ,PA,19134,215-291-4172,215-291-5180,Lisa Mesi,LEARNING NETWORK 3,,Sonya Harrison,0,0,0,0,0,0,0,1,1,1,0,0,0,0
6544,N/A,4.21899E+11,126515001,5440,544,"WILLARD, FRANCES E. SCHOOL",Frances E. Willard School,NEIGHBORHOOD,1907,ELEMENTARY,00-04,N/A,0,0,DISTRICT,N/A,K12,N/A,N/A,N/A,N/A,1,NO DESIGNATION,1,N/A,1930 E. ELKHART ST.,PHILADELPHIA               ,PA,19134,215-291-4714,215-291-4161,Ron Reilly,LEARNING NETWORK 5,,Cheryl Logan,0,1,1,1,1,1,0,0,0,0,0,0,0,0
